id,title,model_year,cost,url,category,sub_category
4462552,"Specialized S-Works Stumpjumper 29 World Cup, veľkosť XL",2300 €,2014,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4462552/specialized-s-works-stumpjumper-29-world-cup-velkost-xl.html,horske-bicykle,pevne-a-hardtail
482593,Ibis DV9 Carbon 29,2799 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/482593/ibis-dv9-carbon-29.html,horske-bicykle,pevne-a-hardtail
481754,Custom 29er,2500 €,2021,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/481754/custom-29er.html,horske-bicykle,pevne-a-hardtail
4464232,CTM rascal 2020 L kolesa 29,750 €,2020,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4464232/ctm-rascal-2020-l-kolesa-29.html,horske-bicykle,pevne-a-hardtail
4464229,Cannondale SE1,1500 €,2021,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4464229/cannondale-se1.html,horske-bicykle,pevne-a-hardtail
4461548,On-One Hello Dave Možná výmena za XC,2100 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4461548/on-one-hello-dave-mozna-vymena-za-xc.html,horske-bicykle,pevne-a-hardtail
481064,Marin San Quentin 1,650 €,2021,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/481064/marin-san-quentin-1.html,horske-bicykle,pevne-a-hardtail
482352,Ghost Lector 1 LC XS,1250 €,2017,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/482352/ghost-lector-1-lc-xs.html,horske-bicykle,pevne-a-hardtail
484738,"Predam HT Merida BIG Seven CF 3000 UD - Velkost ramu 18,5""",1900 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/484738/predam-ht-merida-big-seven-cf-3000-ud-velkost-ramu-185.html,horske-bicykle,pevne-a-hardtail
4462181,"Ht Enduro Ns Bikes Eccentric Alu Evo 27.5'' Custom Hope, Veľkosť L",1490 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4462181/ht-enduro-ns-bikes-eccentric-alu-evo-275-custom-hope-velkost-l.html,horske-bicykle,pevne-a-hardtail
476022,"Trek Procaliber 9.7 2017 Rám 21,5” Kolesá 29”",1750 €,2017,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/476022/trek-procaliber-97-2017-ram-215-kolesa-29.html,horske-bicykle,pevne-a-hardtail
482424,Kellys Spider 70 2021,500 €,2021,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/482424/kellys-spider-70-2021.html,horske-bicykle,pevne-a-hardtail
483840,Dema Ferrara 29 Carbon,1390 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/483840/dema-ferrara-29-carbon.html,horske-bicykle,pevne-a-hardtail
4464192,Canyon Yellowstone vel. M,500 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4464192/canyon-yellowstone-vel-m.html,horske-bicykle,pevne-a-hardtail
477570,"Merida 26""",170 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/477570/merida-26.html,horske-bicykle,pevne-a-hardtail
4462368,Cannondale F29 Lefty Carbon veľkosť L,1400 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4462368/cannondale-f29-lefty-carbon-velkost-l.html,horske-bicykle,pevne-a-hardtail
482245,BMC Twostroke 01 Three GX Eagle,1700 €,2021,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/482245/bmc-twostroke-01-three-gx-eagle.html,horske-bicykle,pevne-a-hardtail
480116,"KTM Myroon 29"" 1x12 AXS Eagle custom",2699 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/480116/ktm-myroon-29-1x12-axs-eagle-custom.html,horske-bicykle,pevne-a-hardtail
482217,Kellys Hacker 70,1150 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/482217/kellys-hacker-70.html,horske-bicykle,pevne-a-hardtail
477844,Predám Kellys spider 30,370 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/477844/predam-kellys-spider-30.html,horske-bicykle,pevne-a-hardtail
4464149,Btwin Rockrider St 540,450 €,2020,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4464149/btwin-rockrider-st-540.html,horske-bicykle,pevne-a-hardtail
4464141,Kellys Hacker 90,3300 €,2021,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4464141/kellys-hacker-90.html,horske-bicykle,pevne-a-hardtail
4463865,Kellys Gibon 70 2019 M’⚠️,950 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4463865/kellys-gibon-70-2019-m.html,horske-bicykle,pevne-a-hardtail
482772,Scott voltage yz40,200 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/482772/scott-voltage-yz40.html,horske-bicykle,pevne-a-hardtail
4464132,Trek,500 €,2019,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4464132/trek-.html,horske-bicykle,pevne-a-hardtail
4462108,"CTM Rein 3,0 veľ.L, kolesá 29 disc",435 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4462108/ctm-rein-30-vell-kolesa-29-disc.html,horske-bicykle,pevne-a-hardtail
481525,CTM Rascal 4.0 2020,1130 €,2020,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/481525/ctm-rascal-40-2020.html,horske-bicykle,pevne-a-hardtail
